,w_BDT,w_DNN,w_GNB,threshold,significancia_val
Pion,0.2,0.8,0.0,0.5307692307692308,1325.9825617699998
Kaon,0.0,0.7000000000000001,0.29999999999999993,0.42820512820512824,339.52822043776854
Proton,0.2,0.8,0.0,0.42820512820512824,293.42868158578733
