,BDT,DNN,GNB,ENSAMBLE
Pion,0.6464646464646465,0.5151515151515152,0.0,0.5252525252525253
Kaon,0.20202020202020204,0.36363636363636365,0.4040404040404041,0.43434343434343436
Proton,0.3535353535353536,0.48484848484848486,0.4040404040404041,0.42424242424242425
